participant;percentage;time;pos_x_right;pos_y_right;dil_right;pos_x_left;pos_y_left;dil_left;brightness;fov;trial;;
Marion;30;3.22;0.01473409;-0.002255917;5.43692;0.07283342;-0.01004222;5.106735;1;-1;1;;
Marion;30;3.24;0.01567304;-0.002373785;5.534164;0.06604642;-0.01437071;5.0121;1;-1;1;;
Marion;30;3.26;-0.006870687;-0.01811448;5.28334;0.06158227;-0.009424955;4.940186;1;-1;1;;
Marion;30;3.28;-0.007858574;-0.01959646;5.249878;0.06433737;-0.01245025;5.023529;1;-1;1;;
Marion;30;3.3;-0.00404641;-0.0222896;5.226715;0.05516642;-0.01078501;5.139511;1;-1;1;;
Marion;30;3.32;-0.01037019;-0.02142036;5.191055;0.06339133;-0.01964507;5.187531;1;-1;1;;
Marion;30;3.34;-0.008588374;-0.0226866;5.233658;0.0504756;-0.038807;4.473434;1;-1;1;;
Marion;30;3.36;-0.00850746;-0.02414966;5.115082;0.05268496;-0.02033514;5.115067;1;-1;1;;
Marion;30;3.38;-0.008473873;-0.02854133;5.253952;0.0532397;-0.01639241;5.124771;1;-1;1;;
Marion;30;3.4;-0.003231704;-0.03681618;5.319809;0.05035722;-0.0145182;5.069275;1;-1;1;;
Marion;30;3.42;0.004523098;-0.03924799;5.447418;0.05720997;-0.03721729;5.142838;1;-1;1;;
Marion;30;3.44;-0.00416559;-0.03972656;5.205063;0.06574458;-0.0429655;4.985184;1;-1;1;;
Marion;30;3.46;0.0001379251;-0.05233267;5.457092;0.05871511;-0.04407051;5.026123;1;-1;1;;
Marion;30;3.48;0.0001378059;-0.05233267;5.457092;0.05871505;-0.04407051;5.026123;1;-1;1;;
Marion;30;3.5;0.0008478761;-0.04172465;5.440903;0.05711204;-0.03185418;5.126007;1;-1;1;;
Marion;30;3.52;-0.009321958;-0.04292712;5.344177;0.05704808;-0.03527892;5.049591;1;-1;1;;
Marion;30;3.54;0.02451056;-0.0413706;5.643219;0.05897683;-0.03228134;5.050858;1;-1;1;;
Marion;30;3.56;0.01346713;-0.03737551;5.790344;0.05771297;-0.02956235;5.111359;1;-1;1;;
Marion;30;3.58;0.01740998;-0.03579238;5.729965;0.05648279;-0.02507696;5.0681;1;-1;1;;
Marion;30;3.6;-0.005080223;-0.04722774;5.445068;0.06430686;-0.02984673;5.123138;1;-1;1;;
Marion;30;3.62;0.01692152;-0.03960404;5.740295;0.05873716;-0.02753332;5.139221;1;-1;1;;
Marion;30;3.64;-0.006248236;-0.05239475;5.341141;0.06082612;-0.02761021;5.010971;1;-1;1;;
Marion;30;3.66;-0.00665009;-0.05019438;5.274078;0.06025136;-0.02752206;5.144363;1;-1;1;;
Marion;30;3.68;-0.03907332;-0.03046906;4.210037;0.06249928;-0.02537507;5.224716;1;-1;1;;
Marion;30;3.7;-0.01833656;-0.05318674;5.44519;0.05811328;-0.02202585;5.166275;1;-1;1;;
Marion;30;3.72;-0.001120865;-0.036663;5.354996;0.07629281;0.04047704;5.116287;1;-1;1;;
Marion;30;3.74;-0.00244984;-0.03588188;5.275345;0.05874687;-0.02098784;5.248886;1;-1;1;;
Marion;30;3.76;-0.00244987;-0.03588188;5.275345;0.05874681;-0.02098784;5.248886;1;-1;1;;
Marion;30;3.78;0.007949054;0.1396058;5.658813;0.04369521;-0.04720145;5.107849;1;-1;1;;
Marion;30;3.8;0.009034872;0.1410258;5.715256;0.07665402;0.06060117;5.278564;1;-1;1;;
Marion;30;3.82;0.009065032;0.1379411;5.71344;0.07659823;0.05705762;5.344894;1;-1;1;;
Marion;30;3.84;0.005864322;0.1402283;5.680496;0.07476383;0.05475026;5.273148;1;-1;1;;
